Name,Organization,Member
Samuel Harrison Smith,Columbian Institute,Member
Andrew Hunter,Columbian Institute,Member
John Law,Columbian Institute,Member
Alexander McWilliams,Columbian Institute,Member
Edward Cutbush,Columbian Institute,Member
Thomas Law,Columbian Institute,Member
John Quincy Adams,Columbian Institute,Member
Andrew Jackson,Columbian Institute,Member
John C. Calhoun,Columbian Institute,Member
Henry Clay,Columbian Institute,Member
William H. Crawford,Columbian Institute,Member
Richard Rush,Columbian Institute,Member
Samuel D. Ingham,Columbian Institute,Member
James Barbour,Columbian Institute,Member
Joel R. Poinsett,Columbian Institute,Member
Samuel L. Southard,Columbian Institute,Member
Mahlon Dickerson,Columbian Institute,Member
John M. Berrien,Columbian Institute,Member
William Wirt,Columbian Institute,Member
John McLean,Columbian Institute,Member
William T. Barry,Columbian Institute,Member
Simon Bernard,Columbian Institute,Member
George Gibson,Columbian Institute,Member
Alexander Macomb,Columbian Institute,Member
George Bomford,Columbian Institute,Member
Nathan Towson,Columbian Institute,Member
Joseph Lovell,Columbian Institute,Member
J. A. Brereton,Columbian Institute,Member
John Rodgers,Columbian Institute,Member
Thomas Tingey,Columbian Institute,Member
Charles Wilkes,Columbian Institute,Member
Bailey Washington,Columbian Institute,Member
William Cranch,Columbian Institute,Member
Buckner Thruston,Columbian Institute,Member
Richard Bland Lee,Columbian Institute,Member
Nathaniel P. Causin,Columbian Institute,Member
Elias B. Caldwell,Columbian Institute,Member
William Brent,Columbian Institute,Member
William Thornton,Columbian Institute,Member
Josiah Meigs,Columbian Institute,Member
George Watterston,Columbian Institute,Member
Phineas Bradley,Columbian Institute,Member
Samuel Lane,Columbian Institute,Member
William Noland,Columbian Institute,Member
Matthew St. Clair Clarke,Columbian Institute,Member
Asbury Dickins,Columbian Institute,Member
Thomas L. Thurston,Columbian Institute,Member
Benjamin Homans,Columbian Institute,Member
Walter Jones,Columbian Institute,Member
William Lambert,Columbian Institute,Member
William Elliot,Columbian Institute,Member
Joseph Anderson,Columbian Institute,Member
John Underwood,Columbian Institute,Member
Nathaniel Cutting,Columbian Institute,Member
Robert King,Columbian Institute,Member
Isaac Roberdeau,Columbian Institute,Member
"William Hewitt,",Columbian Institute,Member
Thomas Munroe,Columbian Institute,Member
William Prout,Columbian Institute,Member
Robert Brent,Columbian Institute,Member
Daniel Rapine,Columbian Institute,Member
James H. Blake,Columbian Institute,Member
Thomas Carbery,Columbian Institute,Member
Roger C. Weightman,Columbian Institute,Member
"Joseph Gales, jr",Columbian Institute,Member
John P. VanNess,Columbian Institute,Member
William A. Bradley,Columbian Institute,Member
Peter Force,Columbian Institute,Member
William W. Seaton,Columbian Institute,Member
Richard Wallach,Columbian Institute,Member
B. S. Bohrer,Columbian Institute,Member
James S. Gunnell,Columbian Institute,Member
Thomas Henderson,Columbian Institute,Member
Henry Huntt,Columbian Institute,Member
Alexander McWilliams,Columbian Institute,Member
