Adair Crawford,APS,1785,Member
Manasseh Cutler,APS,1785,Member
Andrew Ellicott,APS,1785,Member
Samuel Powel Griffiths,APS,1785,Member
Samuel G. Hermelin,APS,1785,Member
Sir William Herschel,APS,1785,Member
Hugh James,APS,1785,Member
Thaddeus Kosciusko,APS,1785,Member
James Madison,APS,1785,Member
Joseph Mandrillion,APS,1785,Member
James McHenry,APS,1785,Member
Christian F. Michailis,APS,1785,Member
Henry E. Muhlenberg,APS,1785,Member
Mann Page,APS,1785,Member
Thomas Paine,APS,1785,Member
William Parker,APS,1785,Member
Robert Perceval,APS,1785,Member
Richard Price,APS,1785,Member
Joseph Priestley,APS,1785,Member
Samuel S. Smith,APS,1785,Member
Jean-Baptiste Sue,APS,1785,Member
George Wall,APS,1785,Member
Benjamin Workman,APS,1785,Member
James Beattie,APS,1786,Member
Pierre J.G. Cabanis,APS,1786,Member
Conte Luigi Castiglioni,APS,1786,Member
Jacques A.C. Charles,APS,1786,Member
George Clymer,APS,1786,Member
Lorenz Crell,APS,1786,Member
Benjamin Duffield,APS,1786,Member
Aime A.J. Feutry,APS,1786,Member
William Temple Franklin,APS,1786,Member
Thibert Garbier,APS,1786,Member
Rene G. Gastelier,APS,1786,Member
Granchain,APS,1786,Member
Guillaume Grivel,APS,1786,Member
Thomas Henry,APS,1786,Member
Jonathan Hoge,APS,1786,Member
Jan Ingenhousz,APS,1786,Member
John Andrews,APS,1786,Member
Richard Kirwan,APS,1786,Member
John Morris,APS,1786,Member
Robert Morris,APS,1786,Member
Nicolas Noel,APS,1786,Member
Charles Willson Peale,APS,1786,Member
Thomas Percival,APS,1786,Member
Robert E. Pine,APS,1786,Member
William Rawle,APS,1786,Member
Duc de Louis A. La Rochefoucauld d'Enville,APS,1786,Member
Julien D. Le Roy,APS,1786,Member
Jean L.G. Soulavie,APS,1786,Member
Benjamin Vaughan,APS,1786,Member
Samuel Vaughan,APS,1786,Member
Louis G. Le Veillard,APS,1786,Member
Charles H. Wharton,APS,1786,Member
John Whitehurst,APS,1786,Member
William Baker,APS,1787,Member
Sir Joseph Banks,APS,1787,Member
Robert Barclay,APS,1787,Member
Thomas Barnes,APS,1787,Member
William Barton,APS,1787,Member
John Bayard,APS,1787,Member
William Bingham,APS,1787,Member
James Bowdoin,APS,1787,Member
Louis C. Cadet-Gassicourt,APS,1787,Member
Benjamin Chew,APS,1787,Member
Isaac Craig,APS,1787,Member
Enoch Edwards,APS,1787,Member
John Hunter,APS,1787,Member
Joseph James,APS,1787,Member
Francis Johnston,APS,1787,Member
John Johnston,APS,1787,Member
Charles Lennox,APS,1787,Member
John Coakley Lettsom,APS,1787,Member
Hon. John Lowell,APS,1787,Member
Robert Milligan,APS,1787,Member
Sir Edward Newenham,APS,1787,Member
Comte Louis G. Otto,APS,1787,Member
John R.B. Rodgers,APS,1787,Member
Thomas Ruston,APS,1787,Member
William W. Smith,APS,1787,Member
George Spence,APS,1787,Member
William Thornton,APS,1787,Member
George Vaux,APS,1787,Member
Antoine A.F. Cadet de Vaux,APS,1787,Member
Thomas White,APS,1787,Member
Jonathan Williams,APS,1787,Member
Caspar Wistar,APS,1787,Member
Simeon De Witt,APS,1787,Member
Burgiss Allison,APS,1789,Member
Charles Arthaud,APS,1789,Member
Benjamin Smith Barton,APS,1789,Member
Samuel Beach,APS,1789,Member
Sir Charles Blagden,APS,1789,Member
John Bleakley,APS,1789,Member
David Brearly,APS,1789,Member
Jean P. Brissot,APS,1789,Member
George Buchanan,APS,1789,Member
Pieter Camper,APS,1789,Member
Nicholas Collin,APS,1789,Member
John Cox,APS,1789,Member
Michel G. St. J. de Crevecoeur,APS,1789,Member
Princess Catherine Ekaterina Dashkova,APS,1789,Member
William Findley,APS,1789,Member
Jos. M. de Flores,APS,1789,Member
Diego de Gardoqui,APS,1789,Member
Francis de Gardoqui,APS,1789,Member
Peter Le Gaux,APS,1789,Member
Ashbel Green,APS,1789,Member
Friedrich A. von Heintz,APS,1789,Member
Joshua Humphreys,APS,1789,Member
Walter Minto,APS,1789,Member
George Monroe,APS,1789,Member
Mekeric L.E. Moreau,APS,1789,Member
William Paterson,APS,1789,Member
C.C. Pinckney,APS,1789,Member
Thomas Pole,APS,1789,Member
David Redick,APS,1789,Member
